,order,num_trees,repetition,assignment,hidden_dim,layers,accuracy
0,16,4,0,0,32,3,1.0
1,16,4,0,0,64,3,1.0
2,16,4,0,0,128,3,1.0
3,16,4,0,0,256,3,1.0
4,16,4,0,0,512,3,1.0
5,16,4,0,1,32,3,1.0
6,16,4,0,1,64,3,1.0
7,16,4,0,1,128,3,1.0
8,16,4,0,1,256,3,1.0
9,16,4,0,1,512,3,1.0
10,16,4,0,2,32,3,1.0
11,16,4,0,2,64,3,1.0
12,16,4,0,2,128,3,1.0
13,16,4,0,2,256,3,1.0
14,16,4,0,2,512,3,1.0
15,16,4,0,3,32,3,1.0
16,16,4,0,3,64,3,1.0
17,16,4,0,3,128,3,1.0
18,16,4,0,3,256,3,1.0
19,16,4,0,3,512,3,1.0
20,16,4,1,0,32,3,1.0
21,16,4,1,0,64,3,1.0
22,16,4,1,0,128,3,1.0
23,16,4,1,0,256,3,1.0
24,16,4,1,0,512,3,1.0
25,16,4,1,1,32,3,1.0
26,16,4,1,1,64,3,1.0
27,16,4,1,1,128,3,1.0
28,16,4,1,1,256,3,1.0
29,16,4,1,1,512,3,1.0
30,16,4,1,2,32,3,1.0
31,16,4,1,2,64,3,1.0
32,16,4,1,2,128,3,1.0
33,16,4,1,2,256,3,1.0
34,16,4,1,2,512,3,1.0
35,16,4,1,3,32,3,1.0
36,16,4,1,3,64,3,1.0
37,16,4,1,3,128,3,1.0
38,16,4,1,3,256,3,1.0
39,16,4,1,3,512,3,1.0
40,16,4,2,0,32,3,1.0
41,16,4,2,0,64,3,1.0
42,16,4,2,0,128,3,1.0
43,16,4,2,0,256,3,1.0
44,16,4,2,0,512,3,1.0
45,16,4,2,1,32,3,1.0
46,16,4,2,1,64,3,1.0
47,16,4,2,1,128,3,1.0
48,16,4,2,1,256,3,1.0
49,16,4,2,1,512,3,1.0
50,16,4,2,2,32,3,1.0
51,16,4,2,2,64,3,1.0
52,16,4,2,2,128,3,1.0
53,16,4,2,2,256,3,1.0
54,16,4,2,2,512,3,1.0
55,16,4,2,3,32,3,1.0
56,16,4,2,3,64,3,1.0
57,16,4,2,3,128,3,1.0
58,16,4,2,3,256,3,1.0
59,16,4,2,3,512,3,1.0
60,16,4,3,0,32,3,1.0
61,16,4,3,0,64,3,1.0
62,16,4,3,0,128,3,1.0
63,16,4,3,0,256,3,1.0
64,16,4,3,0,512,3,1.0
65,16,4,3,1,32,3,1.0
66,16,4,3,1,64,3,1.0
67,16,4,3,1,128,3,1.0
68,16,4,3,1,256,3,1.0
69,16,4,3,1,512,3,1.0
70,16,4,3,2,32,3,1.0
71,16,4,3,2,64,3,1.0
72,16,4,3,2,128,3,1.0
73,16,4,3,2,256,3,1.0
74,16,4,3,2,512,3,1.0
75,16,4,3,3,32,3,1.0
76,16,4,3,3,64,3,1.0
77,16,4,3,3,128,3,1.0
78,16,4,3,3,256,3,1.0
79,16,4,3,3,512,3,1.0
80,16,8,0,0,32,3,1.0
81,16,8,0,0,64,3,1.0
82,16,8,0,0,128,3,1.0
83,16,8,0,0,256,3,1.0
84,16,8,0,0,512,3,1.0
85,16,8,0,1,32,3,1.0
86,16,8,0,1,64,3,1.0
87,16,8,0,1,128,3,1.0
88,16,8,0,1,256,3,1.0
89,16,8,0,1,512,3,1.0
90,16,8,0,2,32,3,1.0
91,16,8,0,2,64,3,1.0
92,16,8,0,2,128,3,1.0
93,16,8,0,2,256,3,1.0
94,16,8,0,2,512,3,1.0
95,16,8,0,3,32,3,1.0
96,16,8,0,3,64,3,1.0
97,16,8,0,3,128,3,1.0
98,16,8,0,3,256,3,1.0
99,16,8,0,3,512,3,1.0
100,16,8,1,0,32,3,1.0
101,16,8,1,0,64,3,1.0
102,16,8,1,0,128,3,1.0
103,16,8,1,0,256,3,1.0
104,16,8,1,0,512,3,1.0
105,16,8,1,1,32,3,1.0
106,16,8,1,1,64,3,1.0
107,16,8,1,1,128,3,1.0
108,16,8,1,1,256,3,1.0
109,16,8,1,1,512,3,1.0
110,16,8,1,2,32,3,1.0
111,16,8,1,2,64,3,1.0
112,16,8,1,2,128,3,1.0
113,16,8,1,2,256,3,1.0
114,16,8,1,2,512,3,1.0
115,16,8,1,3,32,3,1.0
116,16,8,1,3,64,3,1.0
117,16,8,1,3,128,3,1.0
118,16,8,1,3,256,3,1.0
119,16,8,1,3,512,3,1.0
120,16,8,2,0,32,3,1.0
121,16,8,2,0,64,3,1.0
122,16,8,2,0,128,3,1.0
123,16,8,2,0,256,3,1.0
124,16,8,2,0,512,3,1.0
125,16,8,2,1,32,3,1.0
126,16,8,2,1,64,3,1.0
127,16,8,2,1,128,3,1.0
128,16,8,2,1,256,3,1.0
129,16,8,2,1,512,3,1.0
130,16,8,2,2,32,3,1.0
131,16,8,2,2,64,3,0.75
132,16,8,2,2,128,3,1.0
133,16,8,2,2,256,3,1.0
134,16,8,2,2,512,3,1.0
135,16,8,2,3,32,3,1.0
136,16,8,2,3,64,3,1.0
137,16,8,2,3,128,3,1.0
138,16,8,2,3,256,3,1.0
139,16,8,2,3,512,3,1.0
140,16,8,3,0,32,3,1.0
141,16,8,3,0,64,3,1.0
142,16,8,3,0,128,3,1.0
143,16,8,3,0,256,3,1.0
144,16,8,3,0,512,3,1.0
145,16,8,3,1,32,3,0.875
146,16,8,3,1,64,3,1.0
147,16,8,3,1,128,3,1.0
148,16,8,3,1,256,3,1.0
149,16,8,3,1,512,3,1.0
150,16,8,3,2,32,3,1.0
151,16,8,3,2,64,3,1.0
152,16,8,3,2,128,3,1.0
153,16,8,3,2,256,3,1.0
154,16,8,3,2,512,3,1.0
155,16,8,3,3,32,3,1.0
156,16,8,3,3,64,3,1.0
157,16,8,3,3,128,3,1.0
158,16,8,3,3,256,3,1.0
159,16,8,3,3,512,3,1.0
160,16,16,0,0,32,3,0.9375
161,16,16,0,0,64,3,1.0
162,16,16,0,0,128,3,1.0
163,16,16,0,0,256,3,1.0
164,16,16,0,0,512,3,1.0
165,16,16,0,1,32,3,1.0
166,16,16,0,1,64,3,1.0
167,16,16,0,1,128,3,1.0
168,16,16,0,1,256,3,1.0
169,16,16,0,1,512,3,1.0
170,16,16,0,2,32,3,1.0
171,16,16,0,2,64,3,1.0
172,16,16,0,2,128,3,1.0
173,16,16,0,2,256,3,1.0
174,16,16,0,2,512,3,1.0
175,16,16,0,3,32,3,1.0
176,16,16,0,3,64,3,1.0
177,16,16,0,3,128,3,1.0
178,16,16,0,3,256,3,1.0
179,16,16,0,3,512,3,1.0
180,16,16,1,0,32,3,1.0
181,16,16,1,0,64,3,1.0
182,16,16,1,0,128,3,1.0
183,16,16,1,0,256,3,1.0
184,16,16,1,0,512,3,1.0
185,16,16,1,1,32,3,1.0
186,16,16,1,1,64,3,1.0
187,16,16,1,1,128,3,1.0
188,16,16,1,1,256,3,1.0
189,16,16,1,1,512,3,1.0
190,16,16,1,2,32,3,1.0
191,16,16,1,2,64,3,1.0
192,16,16,1,2,128,3,1.0
193,16,16,1,2,256,3,1.0
194,16,16,1,2,512,3,1.0
195,16,16,1,3,32,3,1.0
196,16,16,1,3,64,3,1.0
197,16,16,1,3,128,3,1.0
198,16,16,1,3,256,3,1.0
